fold,xgb_rmse,lgb_rmse,xgb_mae,lgb_mae
1,9334.670947175942,10369.93247021133,6333.220626698369,7107.213730104813
2,5810.785581409325,8715.30113670316,3699.3215760869557,7077.872114044924
3,2284.345697356232,3533.960581487864,1503.9629551630433,2772.344950426184
4,7248.124476685914,5445.580217255074,4216.436389266303,3889.8713059863726
5,425.8628656076009,2033.7050354818964,320.0552632472827,1456.9358059009876
